Ref,Qty,Value,Value2,Note,Description,Datasheet,Manufacturer,ManuPartNum,Distributor1,DistributorPartNum1,DistributorPartLink1,Distributor2,DistributorPartNum2,DistributorPartLink2,Distributor3,DistributorPartNum3,DistributorPartLink3
"A1","1","Cable_Eurorack_16","","Length as required","Eurorack 16-16 pin power & bus cable","","","","Thonk","","https://www.thonk.co.uk/shop/eurorack-power-cables/","SynthCube","","https://synthcube.com/cart/eurorack-ribbon-power-cables","Modular Addict","","https://modularaddict.com/parts/eurorack-power-cables-1"
"C1 C2","2","10U","35 VDC","12 V decoupling","Capacitor - Electrolytic - 12 V decoupling","https://www.mouser.ca/datasheet/2/315/ABA0000C1059-947582.pdf","Panasonic","ECE-A1VKS100I","Mouser","667-ECE-A1VKS100I","https://www.mouser.ca/ProductDetail/667-ECE-A1VKS100I","Thonk","Group_Eurorack_DIY_Essential","https://www.thonk.co.uk/shop/eurorack-diy-essentials/","","",""
"C3 C4","2","100N","","IC decoupling","Capacitor - Ceramic - IC decoupling","https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/lead-mlcc/catalog/leadmlcc_halogenfree_fg_en.pdf","TDK","FG18X7R1H104KNT06","Mouser","810-FG18X7R1H104KNT6","https://www.mouser.ca/ProductDetail/810-FG18X7R1H104KNT6","","","","","",""
"D1 D2","2","MBR150","","","Schottky rectifier diode","https://www.onsemi.com/pdf/datasheet/mbr150-d.pdf","On Semi","MBR150RLG","Mouser","863-MBR150RLG","https://www.mouser.ca/ProductDetail/ON-Semiconductor/MBR150RLG?qs=3JMERSakebpMUdfDTQP0Kw%3D%3D","","","","","",""
"J1 J2 J3 J4","4","WQP-PJ398","","","Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling), QingPu / Thonkiconn","http://www.qingpu-electronics.com/en/products/WQP-PJ398SM-362.html","QingPu / Thonk","PJ398SM / WQP518MA","Thonk","PJ398SM","https://www.thonk.co.uk/shop/thonkiconn/","SynthCube","WQP518MA","https://synthcube.com/cart/3-5mm-euro-jacks","Adafruit","4031","https://www.adafruit.com/product/4031"
"J5","1","Conn_01x08","","","Eurorack 8-pin board power/CV/gate bus connector","https://www.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","","","Adafruit","1540","https://www.adafruit.com/product/1540","Mouser","649-1012937993601BLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/10129379-936001BLF?qs=0lQeLiL1qyaSuTs3FuCL%2FQ%3D%3D","","",""
"J6 J7","2","Conn_Front","","","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","https://cdn-shop.adafruit.com/datasheets/00548.pdf","","","Adafruit","598","https://www.adafruit.com/product/598","Mouser","710-61303211821","https://www.mouser.ca/ProductDetail/Wurth-Elektronik/61303211821?qs=ZtY9WdtwX55M%2FH%2FSrHZ9xA%3D%3D","","",""
"J8 J9","2","Conn_Back","","","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","https://www.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf","","","Adafruit","1540","https://www.adafruit.com/product/1540","Mouser","649-1012937993601BLF","https://www.mouser.ca/ProductDetail/Amphenol-FCI/10129379-936001BLF?qs=0lQeLiL1qyaSuTs3FuCL%2FQ%3D%3D","","",""
"R1 R2","2","1M","1%, 1/6 W","","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-12FTF52-1M","Mouser","603-MFR-12FTF52-1M","https://www.mouser.ca/ProductDetail/YAGEO/MFR-12FTF52-1M?qs=oAGoVhmvjhw%2F%2F4epxEjLtQ%3D%3D","","","","","",""
"R3 R4 R5 R6","4","270R","1%, 1/4 W","Output limiting","Resistor","https://www.mouser.ca/datasheet/2/447/Yageo_LR_MFR_1-1714151.pdf","YAGEO","MFR-25FRF52-270R","Mouser","603-MFR-25FRF52-270R","https://www.mouser.ca/ProductDetail/YAGEO/MFR-25FRF52-270R?qs=oAGoVhmvjhzmtEYPI6wC%2FA%3D%3D","","","","","",""
"SW1","1","SW_DPDT","","","Momentary Switch, dual pole double throw","https://www.carlingtech.com/sites/default/files/documents/Carling-MTS-2S-Series.pdf","Carling","2S1-MDP1-T1-B1-M2QE","Mouser","10TC415","https://www.mouser.ca/ProductDetail/Mountain-Switch/10TC415?qs=iZD9pWtnGRefQ6NhCLkVPw%3D%3D","Antique Electronic Supply","P-H545-SUB","https://www.tubesandmore.com/products/switch-carling-submini-toggle-dpdt-2-position-pc-pins","Thonk","Group_SWITCH_DW","https://www.thonk.co.uk/shop/sub-mini-toggle-switches/"
"U1","1","TL074","","","Quad Low-Noise JFET-Input Operational Amplifiers, DIP-14/SOIC-14","http://www.ti.com/lit/ds/symlink/tl071.pdf","Texas Instruments","TL074BCN","Mouser","595-TL074BCN","https://www.mouser.ca/ProductDetail/?qs=vxEfx8VrU7BHurOY5iQdiA%3D%3D","","","","","",""
